Time,Auto/Man,Temperature Inside,Humidity Inside
2021-04-14 12:05:04,Automatic,20.0,41.0
2021-04-14 12:10:04,Automatic,20.0,41.0
2021-04-14 12:15:04,Automatic,20.0,41.0
2021-04-14 12:20:16,Automatic,20.0,53.0
2021-04-14 12:25:04,Automatic,20.0,53.0
2021-04-14 12:30:06,Automatic,20.0,41.0
2021-04-14 12:35:17,Automatic,21.0,52.0
2021-04-14 12:40:06,Automatic,21.0,41.0
2021-04-14 12:45:14,Automatic,21.0,52.0
2021-04-14 12:50:04,Automatic,21.0,52.0
2021-04-14 12:55:07,Automatic,21.0,41.0
2021-04-14 13:00:19,Automatic,21.0,51.0
2021-04-14 13:05:04,Automatic,21.0,51.0
2021-04-14 13:10:09,Automatic,21.0,51.0
2021-04-14 13:15:06,Automatic,21.0,40.0
2021-04-14 13:20:03,Automatic,21.0,51.0
2021-04-14 13:25:03,Automatic,21.0,41.0
2021-04-14 13:30:04,Automatic,21.0,41.0
2021-04-14 13:35:16,Automatic,21.0,51.0
2021-04-14 13:40:09,Automatic,21.0,51.0
2021-04-14 13:44:49,Manual,21.0,51.0
2021-04-14 13:45:04,Automatic,21.0,51.0
2021-04-14 13:50:12,Automatic,21.0,52.0
2021-04-14 13:55:04,Automatic,21.0,51.0
2021-04-14 14:00:04,Automatic,22.0,54.0
2021-04-14 14:05:04,Automatic,22.0,52.0
2021-04-14 14:10:19,Automatic,22.0,39.0
2021-04-14 14:15:09,Automatic,22.0,53.0
2021-04-14 14:20:04,Automatic,22.0,52.0
2021-04-14 14:25:04,Automatic,11.0,149.0
2021-04-14 14:30:04,Automatic,22.0,42.0
2021-04-14 14:35:08,Automatic,22.0,52.0
2021-04-14 14:40:11,Automatic,21.0,51.0
2021-04-14 14:45:07,Automatic,22.0,42.0
2021-04-14 14:50:12,Automatic,22.0,52.0
2021-04-14 14:55:04,Automatic,22.0,52.0
2021-04-14 15:00:04,Automatic,22.0,42.0
2021-04-14 15:05:07,Automatic,22.0,42.0
2021-04-14 15:10:06,Automatic,22.0,42.0
2021-04-14 15:15:07,Automatic,22.0,42.0
2021-04-14 15:20:08,Automatic,22.0,53.0
2021-04-14 15:25:11,Automatic,22.0,53.0
2021-04-14 15:30:06,Automatic,22.0,48.0
2021-04-14 15:35:06,Automatic,22.0,42.0
2021-04-14 15:40:04,Automatic,22.0,52.0
2021-04-14 15:45:14,Automatic,22.0,51.0
2021-04-14 15:50:07,Automatic,22.0,40.0
2021-04-14 15:55:04,Automatic,22.0,50.0
2021-04-14 16:00:09,Automatic,22.0,50.0
2021-04-14 16:05:03,Automatic,22.0,50.0
2021-04-14 16:10:16,Automatic,22.0,50.0
2021-04-14 16:15:03,Automatic,22.0,50.0
2021-04-14 16:20:19,Automatic,22.0,51.0
2021-04-14 16:25:03,Automatic,22.0,51.0
2021-04-14 16:30:24,Automatic,22.0,51.0
2021-04-14 16:35:04,Automatic,22.0,51.0
2021-04-14 16:40:08,Automatic,22.0,51.0
2021-04-14 16:45:03,Automatic,22.0,50.0
2021-04-14 16:50:14,Automatic,22.0,51.0
2021-04-14 16:55:35,Automatic,22.0,51.0
2021-04-14 17:00:06,Automatic,22.0,52.0
2021-04-14 17:05:04,Automatic,22.0,51.0
2021-04-14 17:10:07,Automatic,11.0,148.0
2021-04-14 17:15:17,Automatic,22.0,51.0
2021-04-14 17:20:09,Automatic,22.0,52.0
2021-04-14 17:25:17,Automatic,22.0,52.0
2021-04-14 17:30:24,Automatic,22.0,52.0
2021-04-14 17:35:16,Automatic,22.0,52.0
2021-04-14 17:40:09,Automatic,22.0,51.0
2021-04-14 17:45:03,Automatic,22.0,51.0
2021-04-14 17:50:03,Automatic,22.0,42.0
2021-04-14 17:55:03,Automatic,22.0,42.0
2021-04-14 18:00:03,Automatic,22.0,41.0
2021-04-14 18:05:03,Automatic,22.0,52.0
2021-04-14 18:10:03,Automatic,22.0,42.0
2021-04-14 18:15:04,Automatic,22.0,51.0
2021-04-14 18:20:04,Automatic,22.0,49.0
2021-04-14 18:25:04,Automatic,22.0,40.0
2021-04-14 18:30:11,Automatic,22.0,51.0
2021-04-14 18:35:09,Automatic,22.0,50.0
2021-04-14 18:40:04,Automatic,22.0,50.0
2021-04-14 18:45:04,Automatic,22.0,40.0
2021-04-14 18:50:04,Automatic,22.0,50.0
2021-04-14 21:15:04,Automatic,19.0,64.0
2021-04-14 21:20:07,Automatic,18.0,51.0
2021-04-14 21:25:06,Automatic,17.0,51.0
2021-04-14 21:30:03,Automatic,17.0,66.0
2021-04-14 21:35:18,Automatic,17.0,68.0
2021-04-14 21:40:04,Automatic,17.0,68.0
2021-04-14 21:45:04,Automatic,17.0,52.0
2021-04-14 21:50:04,Automatic,17.0,53.0
2021-04-14 21:55:06,Automatic,17.0,53.0
2021-04-14 22:00:04,Automatic,17.0,68.0
2021-04-14 22:05:06,Automatic,17.0,56.0
2021-04-14 22:10:03,Automatic,17.0,72.0
2021-04-14 22:15:08,Automatic,16.0,72.0
2021-04-14 22:20:09,Automatic,16.0,73.0
2021-04-14 22:28:18,Manual,16.0,74.0
2021-04-14 22:28:20,Manual,16.0,57.0
2021-04-14 22:30:06,Automatic,16.0,57.0
2021-04-14 22:35:04,Automatic,16.0,73.0
2021-04-14 22:40:04,Automatic,16.0,57.0
2021-04-14 22:45:04,Automatic,16.0,52.0
2021-04-14 22:50:17,Automatic,15.0,67.0
2021-04-14 22:55:06,Automatic,15.0,50.0
2021-04-15 09:05:04,Automatic,16.0,51.0
2021-04-15 09:10:04,Automatic,20.0,44.0
2021-04-15 09:15:07,Automatic,20.0,43.0
2021-04-15 09:20:04,Automatic,20.0,57.0
2021-04-15 09:25:09,Automatic,20.0,47.0
2021-04-15 09:35:06,Automatic,21.0,45.0
2021-04-15 09:40:06,Automatic,21.0,44.0
2021-04-15 09:45:04,Automatic,21.0,55.0
2021-04-15 09:50:06,Automatic,21.0,44.0
2021-04-15 09:55:04,Automatic,21.0,54.0
2021-04-15 10:00:06,Automatic,22.0,45.0
2021-04-15 10:05:12,Automatic,22.0,56.0
2021-04-15 10:15:06,Automatic,22.0,44.0
2021-04-15 10:20:04,Automatic,22.0,54.0
2021-04-15 10:25:03,Automatic,22.0,44.0
2021-04-15 10:30:03,Automatic,22.0,44.0
2021-04-15 10:35:04,Automatic,22.0,45.0
2021-04-15 10:38:55,Manual,22.0,53.0
2021-04-15 10:40:06,Automatic,22.0,44.0
2021-04-15 10:45:03,Automatic,22.0,54.0
2021-04-15 10:50:04,Automatic,22.0,43.0
2021-04-15 10:55:06,Automatic,23.0,43.0
2021-04-15 11:00:06,Automatic,23.0,41.0
2021-04-15 11:05:06,Automatic,23.0,40.0
2021-04-15 11:10:09,Automatic,23.0,39.0
2021-04-15 11:15:11,Automatic,23.0,48.0
